Log initialized at: 2025-03-09 09:25:08
Test for MPI with 2 threads
Temps pour une étape : 1.1352e-05 secondes
Temps pour une étape : 1.0776e-05 secondes
Temps pour une étape : 1.3772e-05 secondes
Temps pour une étape : 1.727e-05 secondes
Temps pour une étape : 2.4442e-05 secondes
Temps pour une étape : 2.0866e-05 secondes
Temps pour une étape : 2.4035e-05 secondes
Temps pour une étape : 3.2695e-05 secondes
Temps pour une étape : 3.8727e-05 secondes
Temps pour une étape : 3.9853e-05 secondes
Temps pour une étape : 3.6471e-05 secondes
Temps pour une étape : 0.000178366 secondes
Temps pour une étape : 7.1216e-05 secondes
Temps pour une étape : 6.9399e-05 secondes
Temps pour une étape : 6.815e-05 secondes
Temps pour une étape : 7.7455e-05 secondes
Temps pour une étape : 0.000103545 secondes
Temps pour une étape : 0.00010281 secondes
Temps pour une étape : 0.000120539 secondes
Temps pour une étape : 0.000130228 secondes
Temps pour une étape : 0.000143495 secondes
Temps pour une étape : 0.000125169 secondes
Temps pour une étape : 0.000139098 secondes
Temps pour une étape : 0.000188906 secondes
Temps pour une étape : 0.000160845 secondes
Temps pour une étape : 0.000190657 secondes
Temps pour une étape : 0.000216288 secondes
Temps pour une étape : 0.000231097 secondes
Temps pour une étape : 0.000238655 secondes
Temps pour une étape : 0.000266151 secondes
Temps pour une étape : 0.000240461 secondes
Temps pour une étape : 0.00028287 secondes
Temps pour une étape : 0.000287829 secondes
Temps pour une étape : 0.000344855 secondes
Temps pour une étape : 0.000410459 secondes
Temps pour une étape : 0.000324629 secondes
Temps pour une étape : 0.000323732 secondes
Temps pour une étape : 0.000378522 secondes
Temps pour une étape : 0.00044056 secondes
Temps pour une étape : 0.000383577 secondes
Temps pour une étape : 0.00040817 secondes
Temps pour une étape : 0.000499286 secondes
Temps pour une étape : 0.000440371 secondes
Temps pour une étape : 0.000488566 secondes
Temps pour une étape : 0.000523862 secondes
Temps pour une étape : 0.000565198 secondes
Temps pour une étape : 0.00059011 secondes
Temps pour une étape : 0.000696157 secondes
Temps pour une étape : 0.000727599 secondes
Temps pour une étape : 0.000691345 secondes
Temps pour une étape : 0.000673873 secondes
Temps pour une étape : 0.000648104 secondes
Temps pour une étape : 0.000756997 secondes
Temps pour une étape : 0.00077101 secondes
Temps pour une étape : 0.00109062 secondes
Temps pour une étape : 0.000943901 secondes
Temps pour une étape : 0.000870949 secondes
Temps pour une étape : 0.000841945 secondes
Temps pour une étape : 0.00122379 secondes
Temps pour une étape : 0.000869855 secondes
Temps pour une étape : 0.000961337 secondes
Temps pour une étape : 0.00109399 secondes
Temps pour une étape : 0.00129548 secondes
Temps pour une étape : 0.00130241 secondes
Temps pour une étape : 0.00104812 secondes
Temps pour une étape : 0.00158194 secondes
Temps pour une étape : 0.00111106 secondes
Temps pour une étape : 0.0012991 secondes
Temps pour une étape : 0.00118444 secondes
Temps pour une étape : 0.00141133 secondes
Temps pour une étape : 0.0012757 secondes
Temps pour une étape : 0.00164325 secondes
Temps pour une étape : 0.00136926 secondes
Temps pour une étape : 0.00149333 secondes
Temps pour une étape : 0.00137353 secondes
Temps pour une étape : 0.00165107 secondes
Temps pour une étape : 0.00180734 secondes
Temps pour une étape : 0.00178302 secondes
