Log initialized at: 2025-03-14 12:35:09
Test for first try of OpenMP optimization
Nombre de coeurs physiques : 32
Taille du cache L1 : 48 KB
Temps pour avancement : 0.0386899 secondes
Temps pour affichage : 0.0234552 secondes
Temps pour avancement : 0.00699233 secondes
Temps pour affichage : 0.00836973 secondes
Temps pour avancement : 0.00568493 secondes
Temps pour affichage : 0.0095573 secondes
Temps pour avancement : 0.0102904 secondes
Temps pour affichage : 0.00907256 secondes
Temps pour avancement : 0.0053897 secondes
Temps pour affichage : 0.0102622 secondes
Temps pour avancement : 0.00558154 secondes
Temps pour affichage : 0.00845147 secondes
Temps pour avancement : 0.00595857 secondes
Temps pour affichage : 0.00871307 secondes
Temps pour avancement : 0.0115263 secondes
Temps pour affichage : 0.0118705 secondes
Temps pour avancement : 0.0058394 secondes
Temps pour affichage : 0.0111764 secondes
Temps pour avancement : 0.00720173 secondes
Temps pour affichage : 0.00993367 secondes
Temps pour avancement : 0.00600391 secondes
Temps pour affichage : 0.0112074 secondes
Temps pour avancement : 0.00722558 secondes
Temps pour affichage : 0.0096987 secondes
Temps pour avancement : 0.00572095 secondes
Temps pour affichage : 0.0103447 secondes
Temps pour avancement : 0.00823807 secondes
Temps pour affichage : 0.0104964 secondes
Temps pour avancement : 0.00582802 secondes
Temps pour affichage : 0.00873979 secondes
Temps pour avancement : 0.00593426 secondes
Temps pour affichage : 0.0104059 secondes
Temps pour avancement : 0.00615984 secondes
Temps pour affichage : 0.0120834 secondes
Temps pour avancement : 0.00621416 secondes
Temps pour affichage : 0.00837455 secondes
Temps pour avancement : 0.00590773 secondes
Temps pour affichage : 0.0157031 secondes
Temps pour avancement : 0.00706535 secondes
Temps pour affichage : 0.0132017 secondes
Temps pour avancement : 0.0058101 secondes
Temps pour affichage : 0.0159659 secondes
Temps pour avancement : 0.00641848 secondes
Temps pour affichage : 0.0116463 secondes
Temps pour avancement : 0.00593795 secondes
Temps pour affichage : 0.0133512 secondes
Temps pour avancement : 0.0138495 secondes
Temps pour affichage : 0.0086047 secondes
Temps pour avancement : 0.00596101 secondes
Temps pour affichage : 0.00850733 secondes
Temps pour avancement : 0.00600644 secondes
Temps pour affichage : 0.0144791 secondes
Temps pour avancement : 0.00599023 secondes
Temps pour affichage : 0.0143772 secondes
Temps pour avancement : 0.0110474 secondes
Temps pour affichage : 0.0104316 secondes
Temps pour avancement : 0.00600664 secondes
Temps pour affichage : 0.0130373 secondes
Temps pour avancement : 0.010618 secondes
Temps pour affichage : 0.0130088 secondes
Temps pour avancement : 0.00142386 secondes
Temps pour affichage : 0.011711 secondes
Temps pour avancement : 0.00992456 secondes
Temps pour affichage : 0.00990208 secondes
Temps pour avancement : 0.00188722 secondes
Temps pour affichage : 0.0123409 secondes
Temps pour avancement : 0.00905833 secondes
Temps pour affichage : 0.0116522 secondes
Temps pour avancement : 0.00788581 secondes
Temps pour affichage : 0.0147788 secondes
Temps pour avancement : 0.0119494 secondes
Temps pour affichage : 0.0136669 secondes
Temps pour avancement : 0.00367261 secondes
Temps pour affichage : 0.0183614 secondes
Temps pour avancement : 0.00721898 secondes
Temps pour affichage : 0.0151806 secondes
Temps pour avancement : 0.00621139 secondes
Temps pour affichage : 0.00957369 secondes
Temps pour avancement : 0.00263628 secondes
Temps pour affichage : 0.0107997 secondes
Temps pour avancement : 0.0162597 secondes
Temps pour affichage : 0.0117773 secondes
Temps pour avancement : 0.00742616 secondes
Temps pour affichage : 0.0146071 secondes
Temps pour avancement : 0.0126873 secondes
Temps pour affichage : 0.0138715 secondes
Temps pour avancement : 0.00644157 secondes
Temps pour affichage : 0.0127536 secondes
Temps pour avancement : 0.0123228 secondes
Temps pour affichage : 0.0129436 secondes
Temps pour avancement : 0.0069837 secondes
Temps pour affichage : 0.0126757 secondes
Temps pour avancement : 0.00721024 secondes
Temps pour affichage : 0.0128027 secondes
Temps pour avancement : 0.00653523 secondes
Temps pour affichage : 0.0102874 secondes
Temps pour avancement : 0.00956504 secondes
Temps pour affichage : 0.0138285 secondes
Temps pour avancement : 0.0068755 secondes
Temps pour affichage : 0.0102468 secondes
Temps pour avancement : 0.019235 secondes
Temps pour affichage : 0.00904459 secondes
Temps pour avancement : 0.0040941 secondes
Temps pour affichage : 0.0108365 secondes
Temps pour avancement : 0.0083135 secondes
Temps pour affichage : 0.00909194 secondes
Temps pour avancement : 0.00671744 secondes
Temps pour affichage : 0.0142396 secondes
Temps pour avancement : 0.007918 secondes
Temps pour affichage : 0.0132941 secondes
Temps pour avancement : 0.00508587 secondes
Temps pour affichage : 0.0123777 secondes
Temps pour avancement : 0.0135295 secondes
Temps pour affichage : 0.0157138 secondes
