Log initialized at: 2025-03-14 12:37:03
Test for MPI with 2 threads
Temps pour affichage : 0.0156671 secondes
Temps pour affichage : 0.00472452 secondes
Temps pour affichage : 0.00445894 secondes
Temps pour affichage : 0.00982505 secondes
Temps pour affichage : 0.00558903 secondes
Temps pour affichage : 0.0116187 secondes
Temps pour affichage : 0.00961584 secondes
Temps pour affichage : 0.00565537 secondes
Temps pour affichage : 0.00561772 secondes
Temps pour affichage : 0.0150382 secondes
Temps pour affichage : 0.00907095 secondes
Temps pour affichage : 0.0107759 secondes
Temps pour affichage : 0.00623459 secondes
Temps pour affichage : 0.0103391 secondes
Temps pour affichage : 0.0051747 secondes
Temps pour affichage : 0.00480824 secondes
Temps pour affichage : 0.00865888 secondes
Temps pour affichage : 0.0111157 secondes
Temps pour affichage : 0.00847984 secondes
Temps pour affichage : 0.0100374 secondes
Temps pour affichage : 0.00935349 secondes
Temps pour affichage : 0.00777348 secondes
Temps pour affichage : 0.0112458 secondes
Temps pour affichage : 0.0086528 secondes
Temps pour affichage : 0.00815635 secondes
Temps pour affichage : 0.01061 secondes
Temps pour affichage : 0.00927344 secondes
Temps pour affichage : 0.00722376 secondes
Temps pour affichage : 0.00848656 secondes
Temps pour affichage : 0.00781769 secondes
Temps pour affichage : 0.0116972 secondes
Temps pour affichage : 0.0146497 secondes
Temps pour affichage : 0.00744548 secondes
Temps pour affichage : 0.0066728 secondes
Temps pour affichage : 0.00590727 secondes
Temps pour affichage : 0.00743808 secondes
Temps pour affichage : 0.00668193 secondes
Temps pour affichage : 0.00727138 secondes
Temps pour affichage : 0.00845473 secondes
Temps pour affichage : 0.00620728 secondes
Temps pour affichage : 0.0288325 secondes
Temps pour affichage : 0.0156687 secondes
Temps pour affichage : 0.0175525 secondes
Temps pour affichage : 0.00964389 secondes
Temps pour affichage : 0.0103097 secondes
Temps pour affichage : 0.00946661 secondes
Temps pour affichage : 0.0123935 secondes
Temps pour affichage : 0.00837066 secondes
Temps pour affichage : 0.0105851 secondes
Temps pour affichage : 0.010918 secondes
Temps pour affichage : 0.0118273 secondes
Temps pour affichage : 0.0126906 secondes
Temps pour affichage : 0.00972493 secondes
Temps pour affichage : 0.0078273 secondes
Temps pour affichage : 0.0170433 secondes
Temps pour affichage : 0.00693871 secondes
Temps pour affichage : 0.00728472 secondes
Temps pour affichage : 0.00942736 secondes
Temps pour affichage : 0.00790316 secondes
Temps pour affichage : 0.0117658 secondes
Temps pour affichage : 0.0112306 secondes
Temps pour affichage : 0.0173063 secondes
Temps pour affichage : 0.0074535 secondes
Temps pour affichage : 0.00776327 secondes
Temps pour affichage : 0.0121249 secondes
Temps pour affichage : 0.0110131 secondes
Temps pour affichage : 0.0117306 secondes
Temps pour affichage : 0.00912403 secondes
Temps pour affichage : 0.0149968 secondes
Temps pour affichage : 0.0122702 secondes
Temps pour affichage : 0.00839136 secondes
Temps pour affichage : 0.0111205 secondes
Temps pour affichage : 0.00884126 secondes
Temps pour affichage : 0.0150809 secondes
Temps pour affichage : 0.0180839 secondes
Temps pour affichage : 0.0120308 secondes
Temps pour affichage : 0.00807439 secondes
Temps pour affichage : 0.00847596 secondes
Temps pour affichage : 0.0121814 secondes
Temps pour affichage : 0.0186626 secondes
Temps pour affichage : 0.00989158 secondes
Temps pour affichage : 0.0143956 secondes
Temps pour affichage : 0.00957934 secondes
Temps pour affichage : 0.0101768 secondes
Temps pour affichage : 0.0129397 secondes
Temps pour affichage : 0.0119625 secondes
Temps pour affichage : 0.0139379 secondes
Temps pour affichage : 0.0149519 secondes
Temps pour affichage : 0.0110592 secondes
Temps pour affichage : 0.0134018 secondes
