Log initialized at: 2025-03-14 16:24:52
Part 3 : Test for OpenMP + MPI version + async io
Nombre de threads OpenMP : 4
Temps pour affichage : 0.00703436 secondes
Temps pour affichage : 0.00279161 secondes
Temps pour affichage : 0.00346584 secondes
Temps pour affichage : 0.00658854 secondes
Temps pour affichage : 0.00672371 secondes
Temps pour affichage : 0.00784515 secondes
Temps pour affichage : 0.00633591 secondes
Temps pour affichage : 0.00722329 secondes
Temps pour affichage : 0.00608261 secondes
Temps pour affichage : 0.00445317 secondes
Temps pour affichage : 0.00470436 secondes
Temps pour affichage : 0.0123012 secondes
Temps pour affichage : 0.00382461 secondes
Temps pour affichage : 0.00392381 secondes
Temps pour affichage : 0.00325764 secondes
Temps pour affichage : 0.00344229 secondes
Temps pour affichage : 0.00310806 secondes
Temps pour affichage : 0.00329133 secondes
Temps pour affichage : 0.00316088 secondes
Temps pour affichage : 0.00407597 secondes
Temps pour affichage : 0.00281197 secondes
Temps pour affichage : 0.00292634 secondes
Temps pour affichage : 0.00307897 secondes
Temps pour affichage : 0.00240234 secondes
Temps pour affichage : 0.00297239 secondes
Temps pour affichage : 0.00335574 secondes
Temps pour affichage : 0.00341892 secondes
Temps pour affichage : 0.00343514 secondes
Temps pour affichage : 0.00322392 secondes
Temps pour affichage : 0.00386877 secondes
Temps pour affichage : 0.00352931 secondes
Temps pour affichage : 0.00295453 secondes
Temps pour affichage : 0.00350756 secondes
Temps pour affichage : 0.00316024 secondes
Temps pour affichage : 0.00272112 secondes
Temps pour affichage : 0.00244609 secondes
Temps pour affichage : 0.00236582 secondes
Temps pour affichage : 0.00253018 secondes
Temps pour affichage : 0.00264823 secondes
Temps pour affichage : 0.00251169 secondes
Temps pour affichage : 0.00719449 secondes
Temps pour affichage : 0.00257113 secondes
Temps pour affichage : 0.00266643 secondes
Temps pour affichage : 0.00271681 secondes
Temps pour affichage : 0.00299709 secondes
Temps pour affichage : 0.00286211 secondes
Temps pour affichage : 0.00263654 secondes
Temps pour affichage : 0.00289821 secondes
Temps pour affichage : 0.0042669 secondes
Temps pour affichage : 0.00400266 secondes
Temps pour affichage : 0.0034235 secondes
Temps pour affichage : 0.00318534 secondes
Temps pour affichage : 0.00304231 secondes
Temps pour affichage : 0.00292522 secondes
Temps pour affichage : 0.00284834 secondes
Temps pour affichage : 0.00306699 secondes
Temps pour affichage : 0.00358727 secondes
Temps pour affichage : 0.00619449 secondes
Temps pour affichage : 0.00568276 secondes
Temps pour affichage : 0.0030424 secondes
Temps pour affichage : 0.00725476 secondes
Temps pour affichage : 0.00366486 secondes
Temps pour affichage : 0.00290366 secondes
